tier,seed,disaster_family,role,metric,baseline,trained,delta,rationale_mode,schema_version
easy,456,active_threat,orchestrator,override_win_rate,0.0,nan,nan,linear_capped,2026.04.24
easy,456,active_threat,orchestrator,raw_reward,-67.5,nan,nan,linear_capped,2026.04.24
easy,456,active_threat,orchestrator,save_rate,0.625,nan,nan,linear_capped,2026.04.24
easy,456,fire,floor_agent,invalid_action_rate,0.0,nan,nan,linear_capped,2026.04.24
easy,456,fire,floor_agent,normalized_reward,6.1388534323428345,nan,nan,linear_capped,2026.04.24
easy,456,fire,floor_agent,override_win_rate,0.0,nan,nan,linear_capped,2026.04.24
easy,456,fire,floor_agent,raw_reward,3.720000000000001,nan,nan,linear_capped,2026.04.24
easy,456,fire,floor_agent,save_rate,0.7291666666666666,nan,nan,linear_capped,2026.04.24
easy,456,fire,orchestrator,invalid_action_rate,0.0,nan,nan,linear_capped,2026.04.24
easy,456,fire,orchestrator,normalized_reward,5.426746065867811,nan,nan,linear_capped,2026.04.24
easy,456,fire,orchestrator,override_win_rate,0.0,nan,nan,linear_capped,2026.04.24
easy,456,fire,orchestrator,raw_reward,-31.79999999999998,nan,nan,linear_capped,2026.04.24
easy,456,fire,orchestrator,save_rate,0.7291666666666666,nan,nan,linear_capped,2026.04.24
easy,456,flood,floor_agent,invalid_action_rate,0.0,nan,nan,linear_capped,2026.04.24
easy,456,flood,floor_agent,normalized_reward,1.1491539517295648,nan,nan,linear_capped,2026.04.24
easy,456,flood,floor_agent,override_win_rate,0.0,nan,nan,linear_capped,2026.04.24
easy,456,flood,floor_agent,raw_reward,-7.120000000000002,nan,nan,linear_capped,2026.04.24
easy,456,flood,floor_agent,save_rate,0.10416666666666667,nan,nan,linear_capped,2026.04.24
easy,456,flood,orchestrator,invalid_action_rate,0.0,nan,nan,linear_capped,2026.04.24
easy,456,flood,orchestrator,normalized_reward,1.417471108468654,nan,nan,linear_capped,2026.04.24
easy,456,flood,orchestrator,override_win_rate,0.0,nan,nan,linear_capped,2026.04.24
easy,456,flood,orchestrator,raw_reward,-39.2,nan,nan,linear_capped,2026.04.24
easy,456,flood,orchestrator,save_rate,0.10416666666666667,nan,nan,linear_capped,2026.04.24
easy,456,gas,floor_agent,invalid_action_rate,0.0,nan,nan,linear_capped,2026.04.24
easy,456,gas,floor_agent,normalized_reward,-4.319391024898124,nan,nan,linear_capped,2026.04.24
easy,456,gas,floor_agent,override_win_rate,0.0,nan,nan,linear_capped,2026.04.24
easy,456,gas,floor_agent,raw_reward,-20.959999999999997,nan,nan,linear_capped,2026.04.24
easy,456,gas,floor_agent,save_rate,0.22916666666666666,nan,nan,linear_capped,2026.04.24
easy,456,gas,orchestrator,invalid_action_rate,0.0,nan,nan,linear_capped,2026.04.24
easy,456,gas,orchestrator,normalized_reward,-5.542892905885983,nan,nan,linear_capped,2026.04.24
easy,456,gas,orchestrator,override_win_rate,0.0,nan,nan,linear_capped,2026.04.24
easy,456,gas,orchestrator,raw_reward,-91.3,nan,nan,linear_capped,2026.04.24
easy,456,gas,orchestrator,save_rate,0.22916666666666666,nan,nan,linear_capped,2026.04.24
easy,456,multi_cascade,floor_agent,invalid_action_rate,0.0,nan,nan,linear_capped,2026.04.24
easy,456,multi_cascade,floor_agent,normalized_reward,22.34360561994141,nan,nan,linear_capped,2026.04.24
easy,456,multi_cascade,floor_agent,override_win_rate,0.0,nan,nan,linear_capped,2026.04.24
easy,456,multi_cascade,floor_agent,raw_reward,4.979999999999967,nan,nan,linear_capped,2026.04.24
easy,456,multi_cascade,floor_agent,save_rate,2.5208333333333335,nan,nan,linear_capped,2026.04.24
easy,456,multi_cascade,orchestrator,invalid_action_rate,0.0,nan,nan,linear_capped,2026.04.24
easy,456,multi_cascade,orchestrator,normalized_reward,21.376985782010166,nan,nan,linear_capped,2026.04.24
easy,456,multi_cascade,orchestrator,override_win_rate,0.0,nan,nan,linear_capped,2026.04.24
easy,456,multi_cascade,orchestrator,raw_reward,-118.10000000000022,nan,nan,linear_capped,2026.04.24
easy,456,multi_cascade,orchestrator,save_rate,2.5208333333333335,nan,nan,linear_capped,2026.04.24
easy,456,structural,floor_agent,invalid_action_rate,0.0,nan,nan,linear_capped,2026.04.24
easy,456,structural,floor_agent,normalized_reward,16.131225035665516,nan,nan,linear_capped,2026.04.24
easy,456,structural,floor_agent,override_win_rate,0.0,nan,nan,linear_capped,2026.04.24
easy,456,structural,floor_agent,raw_reward,15.199999999999998,nan,nan,linear_capped,2026.04.24
easy,456,structural,floor_agent,save_rate,0.8333333333333334,nan,nan,linear_capped,2026.04.24
easy,456,structural,orchestrator,invalid_action_rate,0.0,nan,nan,linear_capped,2026.04.24
easy,456,structural,orchestrator,normalized_reward,19.757388651966302,nan,nan,linear_capped,2026.04.24
easy,456,structural,orchestrator,override_win_rate,0.0,nan,nan,linear_capped,2026.04.24
easy,456,structural,orchestrator,raw_reward,13.59999999999999,nan,nan,linear_capped,2026.04.24
easy,456,structural,orchestrator,save_rate,0.8333333333333334,nan,nan,linear_capped,2026.04.24
easy,789,active_threat,floor_agent,invalid_action_rate,0.0,nan,nan,linear_capped,2026.04.24
easy,789,active_threat,floor_agent,normalized_reward,-0.34804594184828835,nan,nan,linear_capped,2026.04.24
